Year,Year Code,State,State Code,Sex,Sex Code,Deaths,Population,Crude Rate
2000,2000,Alabama,01,Female,F,19,2300596,Unreliable
2000,2000,Alabama,01,Male,M,24,2146504,1.1
2000,2000,Alaska,02,Female,F,14,302820,Unreliable
2000,2000,Alaska,02,Male,M,13,324112,Unreliable
2000,2000,Arizona,04,Female,F,56,2569575,2.2
2000,2000,Arizona,04,Male,M,179,2561057,7.0
2000,2000,Arkansas,05,Female,F,Suppressed,1368707,Suppressed
2000,2000,Arkansas,05,Male,M,14,1304693,Unreliable
2000,2000,California,06,Female,F,243,16996756,1.4
2000,2000,California,06,Male,M,769,16874892,4.6
2000,2000,Colorado,08,Female,F,62,2135278,2.9
2000,2000,Colorado,08,Male,M,112,2165983,5.2
2000,2000,Connecticut,09,Female,F,21,1756246,1.2
2000,2000,Connecticut,09,Male,M,144,1649319,8.7
2000,2000,Delaware,10,Female,F,12,403059,Unreliable
2000,2000,Delaware,10,Male,M,17,380541,Unreliable
2000,2000,District of Columbia,11,Female,F,12,302693,Unreliable
2000,2000,District of Columbia,11,Male,M,31,269366,11.5
2000,2000,Florida,12,Female,F,160,8184663,2.0
2000,2000,Florida,12,Male,M,396,7797715,5.1
2000,2000,Georgia,13,Female,F,36,4159340,0.9
2000,2000,Georgia,13,Male,M,79,4027113,2.0
2000,2000,Hawaii,15,Female,F,10,602866,Unreliable
2000,2000,Hawaii,15,Male,M,19,608671,Unreliable
2000,2000,Idaho,16,Female,F,12,645293,Unreliable
2000,2000,Idaho,16,Male,M,16,648660,Unreliable
2000,2000,Illinois,17,Female,F,125,6338957,2.0
2000,2000,Illinois,17,Male,M,433,6080336,7.1
2000,2000,Indiana,18,Female,F,Suppressed,3098011,Suppressed
2000,2000,Indiana,18,Male,M,35,2982474,1.2
2000,2000,Iowa,19,Female,F,Suppressed,1490809,Suppressed
2000,2000,Iowa,19,Male,M,12,1435515,Unreliable
2000,2000,Kansas,20,Female,F,Suppressed,1359944,Suppressed
2000,2000,Kansas,20,Male,M,17,1328474,Unreliable
2000,2000,Kentucky,21,Female,F,25,2066401,1.2
2000,2000,Kentucky,21,Male,M,67,1975368,3.4
2000,2000,Louisiana,22,Female,F,15,2306073,Unreliable
2000,2000,Louisiana,22,Male,M,37,2162903,1.7
2000,2000,Maine,23,Female,F,Suppressed,654614,Suppressed
2000,2000,Maine,23,Male,M,32,620309,5.2
2000,2000,Maryland,24,Female,F,104,2738692,3.8
2000,2000,Maryland,24,Male,M,377,2557794,14.7
2000,2000,Massachusetts,25,Female,F,82,3290281,2.5
2000,2000,Massachusetts,25,Male,M,232,3058816,7.6
2000,2000,Michigan,26,Female,F,47,5065349,0.9
2000,2000,Michigan,26,Male,M,133,4873095,2.7
2000,2000,Minnesota,27,Female,F,17,2483848,Unreliable
2000,2000,Minnesota,27,Male,M,40,2435631,1.6
2000,2000,Mississippi,28,Female,F,Suppressed,1471104,Suppressed
2000,2000,Mississippi,28,Male,M,Suppressed,1373554,Suppressed
2000,2000,Missouri,29,Female,F,44,2875034,1.5
2000,2000,Missouri,29,Male,M,87,2720177,3.2
2000,2000,Montana,30,Female,F,Suppressed,452715,Suppressed
2000,2000,Montana,30,Male,M,Suppressed,449480,Suppressed
2000,2000,Nebraska,31,Female,F,Suppressed,867912,Suppressed
2000,2000,Nebraska,31,Male,M,10,843351,Unreliable
2000,2000,Nevada,32,Female,F,52,980206,5.3
2000,2000,Nevada,32,Male,M,126,1018051,12.4
2000,2000,New Hampshire,33,Female,F,Suppressed,628099,Suppressed
2000,2000,New Hampshire,33,Male,M,23,607687,3.8
2000,2000,New Jersey,34,Female,F,69,4331537,1.6
2000,2000,New Jersey,34,Male,M,281,4082813,6.9
2000,2000,New Mexico,35,Female,F,39,924729,4.2
2000,2000,New Mexico,35,Male,M,141,894317,15.8
2000,2000,New York,36,Female,F,119,9829709,1.2
2000,2000,New York,36,Male,M,375,9146748,4.1
2000,2000,North Carolina,37,Female,F,103,4106618,2.5
2000,2000,North Carolina,37,Male,M,183,3942695,4.6
2000,2000,North Dakota,38,Female,F,Suppressed,321676,Suppressed
2000,2000,North Dakota,38,Male,M,Suppressed,320524,Suppressed
2000,2000,Ohio,39,Female,F,68,5840878,1.2
2000,2000,Ohio,39,Male,M,182,5512262,3.3
2000,2000,Oklahoma,40,Female,F,47,1754759,2.7
2000,2000,Oklahoma,40,Male,M,80,1695895,4.7
2000,2000,Oregon,41,Female,F,35,1724849,2.0
2000,2000,Oregon,41,Male,M,71,1696550,4.2
2000,2000,Pennsylvania,42,Female,F,69,6351391,1.1
2000,2000,Pennsylvania,42,Male,M,250,5929663,4.2
